id,first_name,last_name,email,car_make,car_model,car_color,car_year,price,date_purchased
1,Naoma,Duckfield,nduckfield0@youtu.be,Merkur,XR4Ti,Purple,1985,93961,2016-07-06
2,Casandra,Wallington,cwallington1@google.it,Isuzu,Space,Aquamarine,1994,88001,2016-10-24
3,Hedvige,Melpuss,hmelpuss2@usgs.gov,Chevrolet,Express 1500,Red,2009,67984,2016-06-05
4,Juana,Valentine,jvalentine3@cnet.com,Chevrolet,G-Series 2500,Turquoise,1998,94466,2016-07-05
5,Barth,Kraut,bkraut4@uol.com.br,BMW,M6,Red,2006,58063,2016-03-21
6,Crissy,Faithfull,cfaithfull5@dell.com,Buick,Riviera,Purple,1990,12474,2016-04-05
7,Juanita,Volant,jvolant6@washington.edu,Honda,Accord,Yellow,1997,79062,2016-11-30
8,Read,Brimm,rbrimm7@google.pl,Chevrolet,Express 1500,Pink,2012,59722,2016-05-05
9,Darby,Elsegood,delsegood8@ucoz.com,Oldsmobile,Cutlass Supreme,Turquoise,1995,60857,2016-06-22
10,Felita,Drysdall,fdrysdall9@boston.com,Porsche,928,Violet,1985,18926,2016-02-22
11,Lucas,Bolwell,lbolwella@google.it,Dodge,Intrepid,Pink,2000,82133,2016-11-02
12,Kaycee,Rushbrook,krushbrookb@hp.com,BMW,3 Series,Red,1996,53208,2016-10-04
13,Syman,Yerrill,syerrillc@mapquest.com,Ford,Econoline E150,Pink,1996,57269,2016-06-14
14,Ellette,Rodenborch,erodenborchd@flavors.me,GMC,Savana 2500,Pink,2001,47258,2016-02-04
15,Allyson,Trayton,atraytone@weather.com,Mitsubishi,Montero,Aquamarine,2001,76637,2016-05-02
16,Jimmie,Comben,jcombenf@unblog.fr,Ford,EXP,Aquamarine,1988,29710,2016-04-23
17,Berny,Pestell,bpestellg@dion.ne.jp,Dodge,Caravan,Blue,1985,29059,2016-07-03
18,Demetra,Simonsson,dsimonssonh@e-recht24.de,Maserati,Quattroporte,Yellow,2005,41840,2016-08-21
19,Kalle,Blasl,kblasli@nih.gov,Audi,RS 4,Blue,2008,01998,2016-12-18
20,Davine,Fickling,dficklingj@moonfruit.com,Volkswagen,Passat,Maroon,1991,58366,2016-09-21
21,Boigie,Stell,bstellk@unc.edu,Mitsubishi,Eclipse,Pink,1995,92871,2016-02-13
22,Mata,Ambrus,mambrusl@mail.ru,Acura,NSX,Turquoise,2004,49832,2016-12-04
23,Olia,Tune,otunem@yahoo.com,Nissan,JUKE,Teal,2012,54926,2016-07-21
24,Adolph,Clementson,aclementsonn@webeden.co.uk,Chevrolet,Equinox,Maroon,2012,67615,2016-04-13
25,Rozanne,McCutcheon,rmccutcheono@merriam-webster.com,Mazda,RX-7,Pink,1989,37801,2016-03-19
26,Milly,Dat,mdatp@youtube.com,Hyundai,Sonata,Violet,1993,42901,2016-04-15
27,Chiquia,Tod,ctodq@wikimedia.org,Chevrolet,Tahoe,Mauv,2009,82824,2016-09-07
28,Fonzie,Cawtheray,fcawtherayr@deliciousdays.com,Ford,Edge,Turquoise,2012,94688,2016-01-04
